Question,Type,Lookup,Function,Can be duplicated,Stand,Chapitre,Subchapitre,Paragraphe
Relevé de la température du bas du meuble du support sur lequel sont placés les saladiers,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,,
Relevé de la température à mi contenant,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,,
Température extérieure du contenant,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,,
Relevé de la température de surface,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,,
Température du produit,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,,
Etat des saladiers de service,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Uniformité de la vaisselle utilisée,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Disponibilité des ramequins/raviers,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Etat des ramequins/raviers,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Propreté des ramequins/raviers,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Disponibilité des petites assiettes,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Etat des petites assiettes,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Propreté des petites assiettes,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Disponibilité des coupelles,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Etat des coupelles,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Propreté des coupelles,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Disponibilité des bols,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Etat des bols,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Propreté des bols,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,
Etat des ustensiles,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,
Propreté des ustensiles,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,
Etat des saladiers,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,
Propreté des saladiers,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,
Adéquation des ustensiles de service à la prestation servie,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,
Etat des vitrines,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,
Propreté des vitrines,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,
Etat des îlots,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,
Propreté des îlots,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,
Etat des vitres,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,
Propreté des vitres,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil
L'amabilité ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil
La politesse ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil
La gestuelle ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil
L'information ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,La communication
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Affichage,
"Information sur les ""signes"" de qualités des produits proposées (Label, Origine etc)",3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Affichage,
Indication du prix,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les desserts,Les desserts dressés,Présentation,
OUVERTURE D'UN TABLEAU PERMETTANT DE SAISIR LE NOM DES PRODUITS CONTRÔLES ET LEUR TEMPERATURE ASSOCIEE,Table,,,,,,,
Produit 1,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 2,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 3,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 4,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 5,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 6,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 7,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 8,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 9,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 10,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 11,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Produit 12,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Vérification de la température de la vitrine,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Contrôle de l'affichage de la vitrine,Température,,,,Les desserts,Les desserts dressés,Relevés des températures,
Uniformité de la vaisselle utilisée,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Etat des ramequins/raviers,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Propreté des ramequins/raviers,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Etat des petites assiettes,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Propreté des petites assiettes,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Etat des coupelles,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Propreté des coupelles,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Etat des bols,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Propreté des bols,3 choice Yes/No/Partial,,,,Les desserts,Les desserts dressés,Les contenants,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les desserts,Les desserts dressés,Les contenants,
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Affichage,
"Indication du prix PV : oui, le développement de",3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les desserts,Les desserts en libre-service,Présentation,
OUVERTURE D'UN TABLEAU PERMETTANT DE SAISIR LE NOM DES PRODUITS CONTRÔLES ET LEUR TEMPERATURE ASSOCIEE,Table,,,,Les desserts,,,
Produit 1,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 2,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 3,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 4,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 5,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 6,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 7,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 8,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 9,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 10,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 11,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Produit 12,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Vérification de la température de la vitrine,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Contrôle de l'affichage de la vitrine,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Relevé de la température du bas du meuble,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Température du support sur lequel sont placés les saladiers,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Relevé de la température à mi contenant,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Température extérieure du contenant,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Relevé de la température de surface,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Température du produit,Température,,,,Les desserts,Les desserts en libre-service,Relevés des températures,
Etat des saladiers de service,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Disponibilité des ramequins/raviers,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Etat des ramequins/raviers,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Propreté des ramequins/raviers,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Disponibilité des petites assiettes,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Etat des petites assiettes,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Propreté des petites assiettes,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Disponibilité des coupelles,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Etat des coupelles,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Propreté des coupelles,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Disponibilité des bols,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Etat des bols,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Propreté des bols,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les contenants,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les desserts,Les desserts en libre-service,Les contenants,
Etat des ustensiles,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les ustensiles de service,
Propreté des ustensiles,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les ustensiles de service,
Etat des saladiers,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les ustensiles de service,
Propreté des saladiers,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les ustensiles de service,
Adéquation des ustensiles de service à la prestation servie,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Les ustensiles de service,
Etat des vitrines,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le matériel,
Propreté des vitrines,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le matériel,
Etat des îlots,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le matériel,
Propreté des îlots,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le matériel,
Etat des vitres,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le matériel,
Propreté des vitres,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le matériel,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,L'accueil
L'amabilité ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,L'accueil
La politesse ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,L'accueil
La gestuelle ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,L'accueil
L'information ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,Les desserts,Les desserts en libre-service,Le personnel,La communication
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Affichage,
"Information sur les ""signes"" proposées (Label, Origine etc)",3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Affichage,
Indication du prix,3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,Les fromages,Les fromages dressés,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les fromages,Les fromages dressés,Présentation,
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Affichage,
Indication du prix,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Affichage,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les fromages,Les fromages en libre service,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les fromages,Les fromages en libre service,Présentation,
Etat des plateaux de service,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Uniformité de la vaisselle utilisée oui,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Disponibilité des ramequins/raviers,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Etat des ramequins/raviers,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Propreté des ramequins/raviers,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Disponibilité des petites assiettes,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Etat des petites assiettes,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Propreté des petites assiettes,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Disponibilité des coupelles,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Etat des coupelles,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Propreté des coupelles,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les contenants,
Etat des ustensiles,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les ustensiles de service,
Propreté des ustensiles,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les ustensiles de service,
Etat des plateaux,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les ustensiles de service,
Propreté des plateaux,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les ustensiles de service,
Adéquation des ustensiles de service à la prestation servie,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Les ustensiles de service,
Etat des vitrines,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Propreté des vitrines,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Etat des îlots,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Propreté des îlots,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Etat des vitres,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Propreté des vitres,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Vérification de la température de la vitrine oui PV oui,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Relevé de la température du bas du meuble oui,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Relevé de la température à mi contenant oui,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
Relevé de la température de surface oui,3 choice Yes/No/Partial,,,,Les fromages,Les fromages en libre service,Le matériel,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,L'acceuil
L'amabilité ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,L'acceuil
La politesse ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,L'acceuil
La gestuelle ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,L'acceuil
L'information ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,Les fromages,,Le personnel,La communication
Température du support sur lequel sont placés les,Température,,,,Les fromages,,Relevés des températures,
Température extérieure du contenant,Température,,,,Les fromages,,Relevés des températures,
Température du produit,Température,,,,Les fromages,,Relevés des températures,
Contrôle de l'affichage de la vitrine,,,,,,,,
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Affichage,
"Information sur les ""signes"" de qualités des produits proposées (Label, Origine etc) ?",3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Affichage,
Indication du prix,3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Présentation,
Uniformité de la vaisselle utilisée,3 choice Yes/No/Partial,,,,Les fruits,Les fruits dressés,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les fruits,Les fruits dressés,Présentation,
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Affichage,
"Information sur les ""signes"" de qualités des produits proposées (Label, Origine etc) ?",3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Affichage,
Indication du prix,3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,Les fruits,Les fruits en libre-service,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les fruits,Les fruits en libre-service,Présentation,
Etat des saladiers de service,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Uniformité de la vaisselle utilisée oui,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Disponibilité des ramequins/raviers,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Etat des ramequins/raviers,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Propreté des ramequins/raviers,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Disponibilité des petites assiettes,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Etat des petites assiettes,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Propreté des petites assiettes,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Disponibilité des coupelles,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Etat des coupelles,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Propreté des coupelles,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Disponibilité des bols,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Etat des bols,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Propreté des bols,3 choice Yes/No/Partial,,,,Les fruits,,Les contenants,
Etat des vitrines,3 choice Yes/No/Partial,,,,Les fruits,,Le matériel,
Propreté des vitrines,3 choice Yes/No/Partial,,,,Les fruits,,Le matériel,
Etat des îlots,3 choice Yes/No/Partial,,,,Les fruits,,Le matériel,
Propreté des îlots,3 choice Yes/No/Partial,,,,Les fruits,,Le matériel,
Etat des vitres,3 choice Yes/No/Partial,,,,Les fruits,,Le matériel,
Propreté des vitres,3 choice Yes/No/Partial,,,,Les fruits,,Le matériel,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,L'accueil
L'amabilité ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,L'accueil
La politesse ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,L'accueil
La gestuelle ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,L'accueil
L'information ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,Les fruits,,Le personnel,La communication
Présence d'un affichage,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Affichage,
"Information sur les ""signes"" de qualités des produits proposées (Label, Origine etc)",3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Affichage,
Indication du prix,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,"La gamme ""yaourts""",,Présentation,
Contrôles des DLC ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Contrôles des dates,
Contrôles des DDM ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Contrôles des dates,
Etat des vitrines,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le matériel,
Propreté des vitrines,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le matériel,
Etat des îlots,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le matériel,
Propreté des îlots,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le matériel,
Etat des vitres,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le matériel,
Propreté des vitres,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le matériel,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,L'accueil
L'amabilité ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,L'accueil
